sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","77s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31294","","","","Manual Only"
"C31285","39s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31285","","","","Manual Only"
"C31287","163s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31287","","","","Manual Only"
"C31288","47s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31288","","","","Manual Only"
"C31289","35s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31289","","","","Manual Only"
"C31290","46s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C31290","","","","Manual Only"
"C34056","51s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C34056","","","","Manual Only"
"C31286","156s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C31286","","","","Manual Only"
"C64134","55s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C64134","","","","Manual Only"
"C31291","113s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31291","","","","Manual Only"
"C31292","106s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","58s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","64s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4668","48s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C4668","","","","Manual Only"
"C2771","10s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2771","","","","Manual Only"
"C2773","11s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C2773","","","","Manual Only"
"C31284","81s","INWK.EStore.srprofile","Passed","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","171s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","35s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3101","","","","Manual Only"
"C3102","742s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3102","","","","Manual Only"
"C3107","274s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3107","","","","Manual Only"
"C3108","895s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3108","","","","Manual Only"
"C3103","17s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3103","","","","Manual Only"
"C3104","105s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3104","","","","Manual Only"
"C3105","43s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C3105","","","","Manual Only"
"C31295","3s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31295","","","","Manual Only"
"C31296","22s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31296","","","","Manual Only"
"C31301","17s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31301","","","","Manual Only"
"C31297","176s","INWK.EStore.srprofile","Passed","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","197s","INWK.EStore.srprofile","Passed","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","83s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31299","","","","Manual Only"
"C31300","15s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31300","","","","Manual Only"
"C31302","36s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31302","","","","Manual Only"
"C31303","57s","INWK.EStore.srprofile","Passed","Automated"
"C31303","24s","INWK.EStore.srprofile","Retest","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","99s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31304","","","","Manual Only"
"C31305","15s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","74s","INWK.EStore.srprofile","Passed","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C43268","171s","INWK.EStore.srprofile","Passed","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","47s","INWK.EStore.srprofile","Passed","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","105s","INWK.EStore.srprofile","Passed","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","161s","INWK.EStore.srprofile","Passed","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C43207","2347s","INWK.EStore.srprofile","Passed","Automated"
"C43207","2282s","INWK.EStore.srprofile","Retest","Automated"
"C43207","648s","INWK.EStore.srprofile","Retest","Automated"
"C43207","323s","INWK.EStore.srprofile","Retest","Automated"
"C43207","","INWK.EStore.srprofile","","Automated"
"C43207","","INWK.EStore.srprofile","","Automated"
"C43358","626s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43358","","INWK.EStore.srprofile","","To Be Automated"
"C43358","","INWK.EStore.srprofile","","To Be Automated"
"C328050","151s","","Passed","To Be Automated"
"C328050","","","","To Be Automated"
"C328050","","","","To Be Automated"
"C42232","47s","INWK.EStore.srprofile","Passed","Automated"
"C42232","","INWK.EStore.srprofile","","Automated"
"C42232","","INWK.EStore.srprofile","","Automated"
"C43209","1032s","INWK.EStore.srprofile","Passed","Automated"
"C43209","322s","INWK.EStore.srprofile","Retest","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43359","227s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
"C48465","77s","INWK.EStore.srprofile","Passed","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C328051","176s","","Passed","To Be Automated"
"C328051","","","","To Be Automated"
"C328051","","","","To Be Automated"
"C42233","70s","INWK.EStore.srprofile","Passed","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C43211","1173s","INWK.EStore.srprofile","Passed","Automated"
"C43211","17s","INWK.EStore.srprofile","Retest","Automated"
"C43211","421s","INWK.EStore.srprofile","Retest","Automated"
"C43211","108s","INWK.EStore.srprofile","Retest","Automated"
"C43211","357s","INWK.EStore.srprofile","Retest","Automated"
"C43211","323s","INWK.EStore.srprofile","Retest","Automated"
"C43211","321s","INWK.EStore.srprofile","Retest","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
"C43360","431s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43360","","INWK.EStore.srprofile","","To Be Automated"
"C43360","","INWK.EStore.srprofile","","To Be Automated"
"C328052","204s","","Passed","To Be Automated"
"C328052","","","","To Be Automated"
"C328052","","","","To Be Automated"
"C42234","85s","INWK.EStore.srprofile","Passed","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C42234","","INWK.EStore.srprofile","","Automated"
"C43217","521s","INWK.EStore.srprofile","Passed","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43217","","INWK.EStore.srprofile","","Automated"
"C43367","58s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43367","","INWK.EStore.srprofile","","To Be Automated"
"C43367","","INWK.EStore.srprofile","","To Be Automated"
"C328059","200s","","Passed","To Be Automated"
"C328059","","","","To Be Automated"
"C328059","","","","To Be Automated"
"C43563","1530s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43563","","INWK.EStore.srprofile","","To Be Automated"
"C43563","","INWK.EStore.srprofile","","To Be Automated"
"C43212","78s","INWK.EStore.srprofile","Passed","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43212","","INWK.EStore.srprofile","","Automated"
"C43214","20s","","Passed","Manual Only"
"C43214","","","","Manual Only"
"C43214","","","","Manual Only"
"C43265","125s","INWK.EStore.srprofile","Passed","Automated"
"C43265","352s","INWK.EStore.srprofile","Retest","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C43265","","INWK.EStore.srprofile","","Automated"
"C339096","135s","","Passed","To Be Automated"
"C339096","","","","To Be Automated"
"C339096","","","","To Be Automated"
"C339097","169s","","Passed","To Be Automated"
"C339097","","","","To Be Automated"
"C339097","","","","To Be Automated"
"C2781","64s","INWK.EStore.srprofile","Passed","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C2781","","INWK.EStore.srprofile","","Automated"
"C31307","30s","","Passed","Manual Only"
"C31307","","","","Manual Only"
"C31307","","","","Manual Only"
"C31309","106s","INWK.EStore.srprofile","Passed","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C31309","","INWK.EStore.srprofile","","Automated"
"C17978","1289s","","Passed","Manual Only"
"C17978","","","","Manual Only"
"C17978","","","","Manual Only"
"C17980","44s","","Passed","Manual Only"
"C17980","","","","Manual Only"
"C17980","","","","Manual Only"
"C17979","1016s","","Passed","Manual Only"
"C17979","","","","Manual Only"
"C17979","","","","Manual Only"
"C17981","32s","","Passed","Manual Only"
"C17981","","","","Manual Only"
"C17981","","","","Manual Only"
"C2843","123s","INWK.EStore.srprofile","Passed","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2843","","INWK.EStore.srprofile","","Automated"
"C2821","150s","INWK.EStore.srprofile","Passed","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2821","","INWK.EStore.srprofile","","Automated"
"C2820","102s","","Passed","Manual Only"
"C2820","","","","Manual Only"
"C2820","","","","Manual Only"
"C2823","14s","","Passed","Manual Only"
"C2823","","","","Manual Only"
"C2823","","","","Manual Only"
"C2825","31s","","Passed","Manual Only"
"C2825","","","","Manual Only"
"C2825","","","","Manual Only"
"C56844","20s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56844","","INWK.EStore.srprofile","","To Be Automated"
"C56844","","INWK.EStore.srprofile","","To Be Automated"
"C56845","5s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56845","","INWK.EStore.srprofile","","To Be Automated"
"C56845","","INWK.EStore.srprofile","","To Be Automated"
"C2826","126s","INWK.EStore.srprofile","Passed","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2826","","INWK.EStore.srprofile","","Automated"
"C2828","14s","","Passed","Manual Only"
"C2828","","","","Manual Only"
"C2828","","","","Manual Only"
"C2830","11s","","Passed","Manual Only"
"C2830","","","","Manual Only"
"C2830","","","","Manual Only"
"C2831","142s","","Passed","Manual Only"
"C2831","","","","Manual Only"
"C2831","","","","Manual Only"
"C5556","267s","INWK.EStore.srprofile","Passed","Automated"
"C5556","74s","INWK.EStore.srprofile","Retest","Automated"
"C5556","70s","INWK.EStore.srprofile","Retest","Automated"
"C5556","68s","INWK.EStore.srprofile","Retest","Automated"
"C5556","76s","INWK.EStore.srprofile","Retest","Automated"
"C5556","63s","INWK.EStore.srprofile","Retest","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C5556","","INWK.EStore.srprofile","","Automated"
"C56839","26s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56839","","INWK.EStore.srprofile","","To Be Automated"
"C56839","","INWK.EStore.srprofile","","To Be Automated"
"C56840","8s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56840","","INWK.EStore.srprofile","","To Be Automated"
"C56840","","INWK.EStore.srprofile","","To Be Automated"
"C2835","563s","INWK.EStore.srprofile","Passed","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2835","","INWK.EStore.srprofile","","Automated"
"C2836","489s","INWK.EStore.srprofile","Passed","To Be Automated"
"C2836","","INWK.EStore.srprofile","","To Be Automated"
"C2836","","INWK.EStore.srprofile","","To Be Automated"
"C2836","205s","INWK.EStore.srprofile","Retest","To Be Automated"
"C2836","224s","INWK.EStore.srprofile","Retest","To Be Automated"
"C2836","319s","INWK.EStore.srprofile","Retest","To Be Automated"
"C2836","317s","INWK.EStore.srprofile","Retest","To Be Automated"
"C2836","","INWK.EStore.srprofile","","To Be Automated"
"C2836","","INWK.EStore.srprofile","","To Be Automated"
"C56859","122s","INWK.EStore.srprofile","Passed","To Be Automated"
"C56859","","INWK.EStore.srprofile","","To Be Automated"
"C56859","","INWK.EStore.srprofile","","To Be Automated"
"C56859","190s","INWK.EStore.srprofile","Retest","To Be Automated"
"C56859","197s","INWK.EStore.srprofile","Retest","To Be Automated"
"C56859","202s","INWK.EStore.srprofile","Retest","To Be Automated"
"C56859","209s","INWK.EStore.srprofile","Retest","To Be Automated"
"C56859","","INWK.EStore.srprofile","","To Be Automated"
"C56859","","INWK.EStore.srprofile","","To Be Automated"
"C56860","242s","INWK.EStore.srprofile","Passed","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56860","","INWK.EStore.srprofile","","Automated"
"C56861","127s","","Passed","Manual Only"
"C56861","","","","Manual Only"
"C56861","","","","Manual Only"
"C56864","141s","","Passed","Manual Only"
"C56864","","","","Manual Only"
"C56864","","","","Manual Only"
"C105657","40s","","Passed","To Be Automated"
"C105657","","","","To Be Automated"
"C105657","","","","To Be Automated"
"C105658","35s","","Passed","To Be Automated"
"C105658","","","","To Be Automated"
"C105658","","","","To Be Automated"
"C105659","74s","","Passed","To Be Automated"
"C105659","","","","To Be Automated"
"C105659","","","","To Be Automated"
"C105660","62s","","Passed","To Be Automated"
"C105660","","","","To Be Automated"
"C105660","","","","To Be Automated"
"C31311","73s","INWK.EStore.srprofile","Passed","To Be Automated"
"C31311","","INWK.EStore.srprofile","","To Be Automated"
"C31311","","INWK.EStore.srprofile","","To Be Automated"
"C31312","448s","INWK.EStore.srprofile","Passed","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C31312","","INWK.EStore.srprofile","","Automated"
"C2888","264s","","Passed","To Be Automated"
"C2888","","","","To Be Automated"
"C2888","","","","To Be Automated"
"C2889","111s","INWK.EStore.srprofile","Passed","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2889","","INWK.EStore.srprofile","","Automated"
"C2890","68s","INWK.EStore.srprofile","Passed","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C2890","","INWK.EStore.srprofile","","Automated"
"C31322","67s","INWK.EStore.srprofile","Passed","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C31322","","INWK.EStore.srprofile","","Automated"
"C122120","251s","","Passed","To Be Automated"
"C122120","","","","To Be Automated"
"C122120","","","","To Be Automated"
"C122121","243s","","Passed","To Be Automated"
"C122121","","","","To Be Automated"
"C122121","","","","To Be Automated"
"C122122","180s","","Passed","To Be Automated"
"C122122","","","","To Be Automated"
"C122122","","","","To Be Automated"
"C2892","332s","INWK.EStore.srprofile","Passed","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2892","","INWK.EStore.srprofile","","Automated"
"C2893","402s","INWK.EStore.srprofile","Passed","Automated"
"C2893","343s","INWK.EStore.srprofile","Retest","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2893","","INWK.EStore.srprofile","","Automated"
"C2895","86s","","Passed","Manual Only"
"C2895","","","","Manual Only"
"C2895","","","","Manual Only"
"C31334","2s","","Passed","Manual Only"
"C31334","512s","","Failed","Manual Only"
"C31334","","","","Manual Only"
"C31334","","","","Manual Only"
"C31329","23s","","Passed","Manual Only"
"C31329","","","","Manual Only"
"C31329","","","","Manual Only"
"C31330","50s","","Passed","Manual Only"
"C31330","","","","Manual Only"
"C31330","","","","Manual Only"
"C31331","480s","INWK.EStore.srprofile","Passed","Automated"
"C31331","347s","INWK.EStore.srprofile","Retest","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
"C31331","","INWK.EStore.srprofile","","Automated"
