sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","221s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","111s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","212s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","149s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","182s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","100s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","88s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","690s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","125s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","245s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","117s","INWK.EStore.srprofile","Passed","Automated"
"C31292","116s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","69s","INWK.EStore.srprofile","Passed","Automated"
"C31293","70s","INWK.EStore.srprofile","Passed","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","71s","INWK.EStore.srprofile","Passed","Automated"
"C4667","75s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4668","505s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","193s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","177s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","106s","INWK.EStore.srprofile","Passed","Automated"
"C31284","108s","INWK.EStore.srprofile","Passed","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","168s","INWK.EStore.srprofile","Passed","Automated"
"C3100","198s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","444s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","626s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","471s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3108","471s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3103","782s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","753s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","472s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","489s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","446s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","439s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","175s","INWK.EStore.srprofile","Passed","Automated"
"C31297","188s","INWK.EStore.srprofile","Passed","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","190s","INWK.EStore.srprofile","Passed","Automated"
"C31298","174s","INWK.EStore.srprofile","Retest","Automated"
"C31298","189s","INWK.EStore.srprofile","Passed","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","366s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","362s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","336s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","50s","INWK.EStore.srprofile","Passed","Automated"
"C31303","40s","INWK.EStore.srprofile","Retest","Automated"
"C31303","52s","INWK.EStore.srprofile","Passed","Automated"
"C31303","15s","INWK.EStore.srprofile","Retest","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","189s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","19s","INWK.EStore.srprofile","Passed","Automated"
"C31305","20s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","94s","INWK.EStore.srprofile","Passed","Automated"
